Date ,State ,Total_Count,Male_Count,Female_Count,,,,
2020-05-04,Michigan,43754,20127,23190,,,,
2020-05-04,Minnesota,6663,3332,3132,,,,
2020-05-04,Mississippi,7550,3043,4470,,,,
2020-05-04,Missouri,8386,3824,4515,,,,
2020-05-04,Montana,455,219,236,,,,
2020-05-04,Nebraska,5659,0,0,,,,
2020-05-04,Nevada,5426,2279,2984,,,,
2020-05-04,New Hampshire,2588,1148,1433,,,,
2020-05-04,New Jersey,126744,64006,62231,,,,
2020-05-04,New Mexico,3850,1561,1786,,,,
2020-05-04,New York,316415,163270,151246,,,,
2020-05-04,North Carolina,11664,5599,5949,,,,
2020-05-04,North Dakota,19094,10693,8401,,,,
2020-05-04,Ohio,0,0,0,,,,
2020-05-04,Oklahoma,3972,1593,2138,,,,
2020-05-04,Oregon,2680,1221,1449,,,,
2020-05-04,Pennsylvania,49267,21885,26763,,,,
2020-05-04,Puerto Rico,987,504,483,,,,
2020-05-04,Rhode Island,9477,4265,5212,,,,
2020-05-04,South Carolina,6626,2783,3711,,,,
2020-05-04,South Dakota,2631,1381,1250,,,,
2020-05-04,Tennessee,13177,6885,5473,,,,
2020-05-04,Texas,31548,15679,15080,,,,
2020-05-04,US Virgin Island,66,24,42,,,,
2020-05-04,Utah,5175,2749,2418,,,,
2020-05-04,Vermont,897,426,464,,,,
2020-05-04,Virginia,18671,8984,9538,,,,
2020-05-04,Washington,15185,6985,7896,,,,
2020-05-04,West Virginia,1195,494,697,,,,
2020-05-04,Wisconsin,7964,3982,3982,,,,
2020-05-04,Wyoming,435,217,210,,,,
2020-05-11,Alabama,10468,4311,6041,,,,
2020-05-11,Alaska,383,194,189,,,,
2020-05-11,Arizona,11736,5516,6220,,,,
2020-05-11,Arkansas,4164,2532,1620,,,,
2020-05-11,California,69382,34969,33997,,,,
2020-05-11,Colorado,20157,9752,10195,,,,
2020-05-11,Connecticut,34142,15416,18726,,,,
2020-05-11,Delaware,6741,3046,3671,,,,
2020-05-11,District of Columbia,6485,3301,3166,,,,
2020-05-11,Florida,41923,20261,20517,,,,
2020-05-11,Georgia,34848,0,0,,,,
2020-05-11,Hawaii,635,0,0,,,,
2020-05-11,Idaho,2293,1040,1249,,,,
2020-05-11,Illinois,83021,39579,41518,,,,
2020-05-11,Indiana,25127,11533,13066,,,,
2020-05-11,Iowa,12912,6456,5940,,,,
2020-05-11,Kansas,7116,3962,2958,,,,
2020-05-11,Kentucky,5130,2229,2713,,,,
2020-05-11,Louisiana,32050,13141,17948,,,,
2020-05-11,Maine,1388,686,788,,,,
2020-05-11,Maryland,34061,16209,17852,,,,
2020-05-11,Massachusetts,79322,43205,34913,,,,
2020-05-11,Michigan,48021,22090,25451,,,,
2020-05-11,Minnesota,12494,6122,6122,,,,
2020-05-11,Mississippi,9908,4033,5806,,,,
2020-05-11,Missouri,10006,4550,5393,,,,
2020-05-11,Montana,461,222,239,,,,
2020-05-11,Nebraska,8692,0,0,,,,
2020-05-11,Nevada,6311,2777,3408,,,,
2020-05-11,New Hampshire,3160,1407,1742,,,,
2020-05-11,New Jersey,140743,0,0,,,,
2020-05-11,New Mexico,5212,2346,2718,,,,
2020-05-11,New York,338485,173643,162811,,,,
2020-05-11,North Carolina,15346,7366,7673,,,,
2020-05-11,North Dakota,1571,767,804,,,,
2020-05-11,Ohio,23809,12857,10714,,,,
2020-05-11,Oklahoma,4732,1949,2490,,,,
2020-05-11,Oregon,3358,1560,1795,,,,
2020-05-11,Pennsylvania,57991,25616,31733,,,,
2020-05-11,Puerto Rico,1073,545,528,,,,
2020-05-11,Rhode Island,11614,5226,6388,,,,
2020-05-11,South Carolina,7927,3409,4439,,,,
2020-05-11,South Dakota,3663,2005,1658,,,,
2020-05-11,Tennessee,16110,8644,6606,,,,
2020-05-11,Texas,41048,21181,19046,,,,
2020-05-11,US Virgin Island,69,26,43,,,,
2020-05-11,Utah,6432,3400,3024,,,,
2020-05-11,Vermont,927,438,485,,,,
2020-05-11,Virginia,25800,12611,13019,,,,
2020-05-11,Washington,17330,7799,9012,,,,
2020-05-11,West Virginia,1378,582,794,,,,
2020-05-11,Wisconsin,10611,5252,5359,,,,
2020-05-11,Wyoming,513,262,249,,,,
2020-05-18,Alabama,12042,4977,6964,,,,
2020-05-18,Alaska,396,202,194,,,,
2020-05-18,Arizona,13937,6550,7387,,,,
2020-05-18,Arkansas,4759,2898,1842,,,,
2020-05-18,California,78839,39735,38631,,,,
2020-05-18,Colorado,21938,10618,11103,,,,
2020-05-18,Connecticut,37419,17769,20463,,,,
2020-05-18,Delaware,7670,3445,4201,,,,
2020-05-18,District of Columbia,7123,3301,3478,,,,
2020-05-18,Florida,45588,21864,22488,,,,
2020-05-18,Georgia,37552,0,0,,,,
2020-05-18,Hawaii,640,0,0,,,,
2020-05-18,Idaho,2419,1092,1322,,,,
2020-05-18,Illinois,94191,44809,47296,,,,
2020-05-18,Indiana,27778,12833,14250,,,,
2020-05-18,Iowa,14651,7364,6764,,,,
2020-05-18,Kansas,7886,4392,3287,,,,
2020-05-18,Kentucky,7688,3663,3772,,,,
2020-05-18,Louisiana,34432,13773,18938,,,,
2020-05-18,Maine,1511,802,885,,,,
2020-05-18,Maryland,38804,18593,20211,,,,
2020-05-18,Massachusetts,86010,37810,46825,,,,
2020-05-18,Michigan,51142,24037,27105,,,,
2020-05-18,Minnesota,15668,7602,7752,,,,
2020-05-18,Mississippi,11296,4597,6631,,,,
2020-05-18,Missouri,10789,4908,5813,,,,
2020-05-18,Montana,468,225,243,,,,
2020-05-18,Nebraska,10348,0,0,,,,
2020-05-18,Nevada,6857,3082,3610,,,,
2020-05-18,New Hampshire,3652,1617,2006,,,,
2020-05-18,New Jersey,146334,0,0,,,,
2020-05-18,New Mexico,5938,2685,3108,,,,
2020-05-18,New York,350121,179262,168758,,,,
2020-05-18,North Carolina,18512,8886,9256,,,,
2020-05-18,North Dakota,1900,918,982,,,,
2020-05-18,Ohio,26220,14159,12061,,,,
2020-05-18,Oklahoma,5310,2281,2716,,,,
2020-05-18,Oregon,3623,1708,1910,,,,
2020-05-18,Pennsylvania,62234,27463,34098,,,,
2020-05-18,Puerto Rico,1073,545,528,,,,
2020-05-18,Rhode Island,12674,5703,6971,,,,
2020-05-18,South Carolina,8816,3791,4937,,,,
2020-05-18,South Dakota,3987,2157,1830,,,,
2020-05-18,Tennessee,17388,9340,7147,,,,
