Date,Sex,Age Group,Total Deaths,COVID-19 Deaths
2020-08-15,Male,1-4 Years,32,1
2020-08-15,Male,5-14 Years,65,0
2020-08-15,Male,15-24 Years,569,12
2020-08-15,Male,25-34 Years,"1,112",34
2020-08-15,Male,35-44 Years,"1,384",108
2020-08-15,Male,45-54 Years,"2,402",283
2020-08-15,Male,55-64 Years,"5,280",636
2020-08-15,Male,65-74 Years,"7,611",985
2020-08-15,Male,75-84 Years,"7,978","1,126"
2020-08-15,Male,85+ Years,"6,855",827
2020-08-15,Female,All Ages,"30,153","3,257"
2020-08-15,Female,<1 Years,155,1
2020-08-15,Female,1-4 Years,35,1
2020-08-15,Female,5-14 Years,44,0
2020-08-15,Female,15-24 Years,217,9
2020-08-15,Female,25-34 Years,470,24
2020-08-15,Female,35-44 Years,744,65
2020-08-15,Female,45-54 Years,"1,436",140
2020-08-15,Female,55-64 Years,"3,275",375
2020-08-15,Female,65-74 Years,"5,322",647
2020-08-15,Female,75-84 Years,"7,380",874
2020-08-15,Female,85+ Years,"11,075","1,121"
2020-08-22,All Sex,All Ages,"62,560","6,389"
2020-08-22,All Sex,<1 Years,362,1
2020-08-22,All Sex,1-4 Years,51,2
2020-08-22,All Sex,5-14 Years,102,2
2020-08-22,All Sex,15-24 Years,776,18
2020-08-22,All Sex,25-34 Years,"1,502",53
2020-08-22,All Sex,35-44 Years,"2,060",126
2020-08-22,All Sex,45-54 Years,"3,806",392
2020-08-22,All Sex,55-64 Years,"8,256",886
2020-08-22,All Sex,65-74 Years,"12,755","1,501"
2020-08-22,All Sex,75-84 Years,"15,048","1,686"
2020-08-22,All Sex,85+ Years,"17,842","1,722"
2020-08-22,Male,All Ages,"32,837","3,424"
2020-08-22,Male,<1 Years,195,1
2020-08-22,Male,1-4 Years,30,1
2020-08-22,Male,5-14 Years,63,0
2020-08-22,Male,15-24 Years,559,10
2020-08-22,Male,25-34 Years,"1,076",31
2020-08-22,Male,35-44 Years,"1,388",81
2020-08-22,Male,45-54 Years,"2,404",249
2020-08-22,Male,55-64 Years,"5,036",525
2020-08-22,Male,65-74 Years,"7,423",905
2020-08-22,Male,75-84 Years,"7,759",894
2020-08-22,Male,85+ Years,"6,904",727
2020-08-22,Female,All Ages,"29,723","2,965"
2020-08-22,Female,<1 Years,167,0
2020-08-22,Female,1-4 Years,21,1
2020-08-22,Female,5-14 Years,39,2
2020-08-22,Female,15-24 Years,217,8
2020-08-22,Female,25-34 Years,426,22
2020-08-22,Female,35-44 Years,672,45
2020-08-22,Female,45-54 Years,"1,402",143
2020-08-22,Female,55-64 Years,"3,220",361
2020-08-22,Female,65-74 Years,"5,332",596
2020-08-22,Female,75-84 Years,"7,289",792
2020-08-22,Female,85+ Years,"10,938",995
2020-08-29,All Sex,All Ages,"61,103","5,755"
2020-08-29,All Sex,<1 Years,366,0
2020-08-29,All Sex,1-4 Years,59,0
2020-08-29,All Sex,5-14 Years,105,1
2020-08-29,All Sex,15-24 Years,755,12
2020-08-29,All Sex,25-34 Years,"1,496",38
2020-08-29,All Sex,35-44 Years,"2,083",104
2020-08-29,All Sex,45-54 Years,"3,627",289
2020-08-29,All Sex,55-64 Years,"8,185",797
2020-08-29,All Sex,65-74 Years,"12,172","1,343"
2020-08-29,All Sex,75-84 Years,"14,617","1,534"
2020-08-29,All Sex,85+ Years,"17,638","1,637"
2020-08-29,Male,All Ages,"31,917","3,082"
2020-08-29,Male,<1 Years,186,0
2020-08-29,Male,1-4 Years,30,0
2020-08-29,Male,5-14 Years,57,1
2020-08-29,Male,15-24 Years,560,8
2020-08-29,Male,25-34 Years,"1,077",24
2020-08-29,Male,35-44 Years,"1,390",72
2020-08-29,Male,45-54 Years,"2,242",187
2020-08-29,Male,55-64 Years,"4,996",493
2020-08-29,Male,65-74 Years,"6,980",796
2020-08-29,Male,75-84 Years,"7,541",832
2020-08-29,Male,85+ Years,"6,858",669
2020-08-29,Female,All Ages,"29,186","2,673"
2020-08-29,Female,<1 Years,180,0
2020-08-29,Female,1-4 Years,29,0
2020-08-29,Female,5-14 Years,48,0
2020-08-29,Female,15-24 Years,195,4
2020-08-29,Female,25-34 Years,419,14
2020-08-29,Female,35-44 Years,693,32
2020-08-29,Female,45-54 Years,"1,385",102
2020-08-29,Female,55-64 Years,"3,189",304
2020-08-29,Female,65-74 Years,"5,192",547
2020-08-29,Female,75-84 Years,"7,076",702
2020-08-29,Female,85+ Years,"10,780",968
2020-09-05,All Sex,All Ages,"60,246","5,021"
2020-09-05,All Sex,<1 Years,368,0
2020-09-05,All Sex,1-4 Years,67,0
2020-09-05,All Sex,5-14 Years,103,1
2020-09-05,All Sex,15-24 Years,733,11
2020-09-05,All Sex,25-34 Years,"1,469",35
2020-09-05,All Sex,35-44 Years,"2,143",99
2020-09-05,All Sex,45-54 Years,"3,681",256
2020-09-05,All Sex,55-64 Years,"8,053",670
2020-09-05,All Sex,65-74 Years,"12,108","1,112"
2020-09-05,All Sex,75-84 Years,"14,358","1,430"
2020-09-05,All Sex,85+ Years,"17,163","1,407"
2020-09-05,Male,All Ages,"31,575","2,664"
2020-09-05,Male,<1 Years,195,0
2020-09-05,Male,1-4 Years,38,0
2020-09-05,Male,5-14 Years,60,0
2020-09-05,Male,15-24 Years,551,4
2020-09-05,Male,25-34 Years,"1,075",25
2020-09-05,Male,35-44 Years,"1,382",57
2020-09-05,Male,45-54 Years,"2,358",170
2020-09-05,Male,55-64 Years,"4,927",391
2020-09-05,Male,65-74 Years,"6,969",664
2020-09-05,Male,75-84 Years,"7,428",793
2020-09-05,Male,85+ Years,"6,592",560
2020-09-05,Female,All Ages,"28,671","2,357"
2020-09-05,Female,<1 Years,173,0
2020-09-05,Female,1-4 Years,29,0
2020-09-05,Female,5-14 Years,43,1
2020-09-05,Female,15-24 Years,182,7
2020-09-05,Female,25-34 Years,394,10
2020-09-05,Female,35-44 Years,761,42
2020-09-05,Female,45-54 Years,"1,323",86
2020-09-05,Female,55-64 Years,"3,126",279
2020-09-05,Female,65-74 Years,"5,139",448
2020-09-05,Female,75-84 Years,"6,930",637
2020-09-05,Female,85+ Years,"10,571",847
2020-09-12,All Sex,All Ages,"59,660","4,628"
2020-09-12,All Sex,<1 Years,395,4
2020-09-12,All Sex,1-4 Years,66,0
2020-09-12,All Sex,5-14 Years,112,1
2020-09-12,All Sex,15-24 Years,770,13
2020-09-12,All Sex,25-34 Years,"1,421",41
2020-09-12,All Sex,35-44 Years,"2,024",106
2020-09-12,All Sex,45-54 Years,"3,533",262
2020-09-12,All Sex,55-64 Years,"8,157",640
2020-09-12,All Sex,65-74 Years,"11,870","1,066"
2020-09-12,All Sex,75-84 Years,"14,197","1,241"
2020-09-12,All Sex,85+ Years,"17,115","1,254"
2020-09-12,Male,All Ages,"31,434","2,513"
2020-09-12,Male,<1 Years,225,2
2020-09-12,Male,1-4 Years,42,0
2020-09-12,Male,5-14 Years,72,1
2020-09-12,Male,15-24 Years,586,9
2020-09-12,Male,25-34 Years,"1,012",27
2020-09-12,Male,35-44 Years,"1,324",66
2020-09-12,Male,45-54 Years,"2,254",163
2020-09-12,Male,55-64 Years,"5,052",420
2020-09-12,Male,65-74 Years,"6,911",628
2020-09-12,Male,75-84 Years,"7,403",677
2020-09-12,Male,85+ Years,"6,553",520
2020-09-12,Female,All Ages,"28,226","2,115"
2020-09-12,Female,<1 Years,170,2
2020-09-12,Female,1-4 Years,24,0
2020-09-12,Female,5-14 Years,40,0
2020-09-12,Female,15-24 Years,184,4
2020-09-12,Female,25-34 Years,409,14
2020-09-12,Female,35-44 Years,700,40
2020-09-12,Female,45-54 Years,"1,279",99
2020-09-12,Female,55-64 Years,"3,105",220
2020-09-12,Female,65-74 Years,"4,959",438
2020-09-12,Female,75-84 Years,"6,794",564
2020-09-12,Female,85+ Years,"10,562",734
2020-09-19,All Sex,All Ages,"59,737","4,280"
2020-09-19,All Sex,<1 Years,386,0
2020-09-19,All Sex,1-4 Years,63,0
2020-09-19,All Sex,5-14 Years,106,1
2020-09-19,All Sex,15-24 Years,749,8
2020-09-19,All Sex,25-34 Years,"1,438",33
2020-09-19,All Sex,35-44 Years,"1,907",72
2020-09-19,All Sex,45-54 Years,"3,467",200
2020-09-19,All Sex,55-64 Years,"7,924",541
2020-09-19,All Sex,65-74 Years,"12,118",986
2020-09-19,All Sex,75-84 Years,"14,319","1,171"
2020-09-19,All Sex,85+ Years,"17,260","1,268"
2020-09-19,Male,All Ages,"31,348","2,287"
2020-09-19,Male,<1 Years,210,0
2020-09-19,Male,1-4 Years,41,0
2020-09-19,Male,5-14 Years,68,0
2020-09-19,Male,15-24 Years,562,6
2020-09-19,Male,25-34 Years,"1,011",19
2020-09-19,Male,35-44 Years,"1,258",48
2020-09-19,Male,45-54 Years,"2,149",123
2020-09-19,Male,55-64 Years,"4,864",342
2020-09-19,Male,65-74 Years,"6,999",585
2020-09-19,Male,75-84 Years,"7,456",653
2020-09-19,Male,85+ Years,"6,730",511
2020-09-19,Female,All Ages,"28,389","1,993"
2020-09-19,Female,<1 Years,176,0
2020-09-19,Female,1-4 Years,22,0
2020-09-19,Female,5-14 Years,38,1
2020-09-19,Female,15-24 Years,187,2
2020-09-19,Female,25-34 Years,427,14
2020-09-19,Female,35-44 Years,649,24
2020-09-19,Female,45-54 Years,"1,318",77
2020-09-19,Female,55-64 Years,"3,060",199
2020-09-19,Female,65-74 Years,"5,119",401
2020-09-19,Female,75-84 Years,"6,863",518
2020-09-19,Female,85+ Years,"10,530",757
2020-09-26,All Sex,All Ages,"60,610","4,305"
2020-09-26,All Sex,<1 Years,358,1
2020-09-26,All Sex,1-4 Years,55,0
2020-09-26,All Sex,5-14 Years,106,1
2020-09-26,All Sex,15-24 Years,699,5
2020-09-26,All Sex,25-34 Years,"1,416",31
2020-09-26,All Sex,35-44 Years,"2,010",86
2020-09-26,All Sex,45-54 Years,"3,495",223
2020-09-26,All Sex,55-64 Years,"7,932",535
2020-09-26,All Sex,65-74 Years,"12,116",969
2020-09-26,All Sex,75-84 Years,"14,524","1,177"
2020-09-26,All Sex,85+ Years,"17,899","1,277"
2020-09-26,Male,All Ages,"31,621","2,364"
2020-09-26,Male,<1 Years,221,1
2020-09-26,Male,1-4 Years,36,0
2020-09-26,Male,5-14 Years,68,0
2020-09-26,Male,15-24 Years,519,2
2020-09-26,Male,25-34 Years,979,17
2020-09-26,Male,35-44 Years,"1,293",55
2020-09-26,Male,45-54 Years,"2,207",154
2020-09-26,Male,55-64 Years,"4,805",342
2020-09-26,Male,65-74 Years,"6,998",567
2020-09-26,Male,75-84 Years,"7,451",672
2020-09-26,Male,85+ Years,"7,044",554
2020-09-26,Female,All Ages,"28,989","1,941"
2020-09-26,Female,<1 Years,137,0
2020-09-26,Female,1-4 Years,19,0
2020-09-26,Female,5-14 Years,38,1
2020-09-26,Female,15-24 Years,180,3
2020-09-26,Female,25-34 Years,437,14
2020-09-26,Female,35-44 Years,717,31
2020-09-26,Female,45-54 Years,"1,288",69
2020-09-26,Female,55-64 Years,"3,127",193
2020-09-26,Female,65-74 Years,"5,118",402
2020-09-26,Female,75-84 Years,"7,073",505
2020-09-26,Female,85+ Years,"10,855",723
2020-10-03,All Sex,All Ages,"59,802","4,246"
2020-10-03,All Sex,<1 Years,359,2
2020-10-03,All Sex,1-4 Years,58,0
2020-10-03,All Sex,5-14 Years,123,1
2020-10-03,All Sex,15-24 Years,750,6
2020-10-03,All Sex,25-34 Years,"1,370",33
2020-10-03,All Sex,35-44 Years,"1,979",75
2020-10-03,All Sex,45-54 Years,"3,438",204
2020-10-03,All Sex,55-64 Years,"7,851",481
2020-10-03,All Sex,65-74 Years,"12,122",979
2020-10-03,All Sex,75-84 Years,"14,381","1,157"
2020-10-03,All Sex,85+ Years,"17,371","1,308"
2020-10-03,Male,All Ages,"31,111","2,301"
2020-10-03,Male,<1 Years,206,2
2020-10-03,Male,1-4 Years,29,0
2020-10-03,Male,5-14 Years,73,0
2020-10-03,Male,15-24 Years,545,3
2020-10-03,Male,25-34 Years,961,15
2020-10-03,Male,35-44 Years,"1,301",39
2020-10-03,Male,45-54 Years,"2,154",135
2020-10-03,Male,55-64 Years,"4,752",319
2020-10-03,Male,65-74 Years,"6,946",596
2020-10-03,Male,75-84 Years,"7,402",629
2020-10-03,Male,85+ Years,"6,742",563
2020-10-03,Female,All Ages,"28,691","1,945"
2020-10-03,Female,<1 Years,153,0
2020-10-03,Female,1-4 Years,29,0
2020-10-03,Female,5-14 Years,50,1
2020-10-03,Female,15-24 Years,205,3
2020-10-03,Female,25-34 Years,409,18
2020-10-03,Female,35-44 Years,678,36
2020-10-03,Female,45-54 Years,"1,284",69
2020-10-03,Female,55-64 Years,"3,099",162
2020-10-03,Female,65-74 Years,"5,176",383
2020-10-03,Female,75-84 Years,"6,979",528
2020-10-03,Female,85+ Years,"10,629",745
2020-10-10,All Sex,All Ages,"61,775","4,823"
2020-10-10,All Sex,<1 Years,375,1
2020-10-10,All Sex,1-4 Years,72,0
2020-10-10,All Sex,5-14 Years,103,1
2020-10-10,All Sex,15-24 Years,729,8
2020-10-10,All Sex,25-34 Years,"1,464",29
2020-10-10,All Sex,35-44 Years,"2,046",78
2020-10-10,All Sex,45-54 Years,"3,644",220
2020-10-10,All Sex,55-64 Years,"8,145",576
2020-10-10,All Sex,65-74 Years,"12,291","1,050"
2020-10-10,All Sex,75-84 Years,"14,891","1,401"
2020-10-10,All Sex,85+ Years,"18,015","1,459"
2020-10-10,Male,All Ages,"32,412","2,615"
2020-10-10,Male,<1 Years,223,1
2020-10-10,Male,1-4 Years,43,0
2020-10-10,Male,5-14 Years,63,0
2020-10-10,Male,15-24 Years,550,4
2020-10-10,Male,25-34 Years,"1,075",16
2020-10-10,Male,35-44 Years,"1,348",42
2020-10-10,Male,45-54 Years,"2,318",155
2020-10-10,Male,55-64 Years,"4,961",340
2020-10-10,Male,65-74 Years,"7,048",627
2020-10-10,Male,75-84 Years,"7,707",788
2020-10-10,Male,85+ Years,"7,076",642
2020-10-10,Female,All Ages,"29,363","2,208"
2020-10-10,Female,<1 Years,152,0
2020-10-10,Female,1-4 Years,29,0
2020-10-10,Female,5-14 Years,40,1
2020-10-10,Female,15-24 Years,179,4
2020-10-10,Female,25-34 Years,389,13
2020-10-10,Female,35-44 Years,698,36
2020-10-10,Female,45-54 Years,"1,326",65
2020-10-10,Female,55-64 Years,"3,184",236
2020-10-10,Female,65-74 Years,"5,243",423
2020-10-10,Female,75-84 Years,"7,184",613
2020-10-10,Female,85+ Years,"10,939",817
2020-10-17,All Sex,All Ages,"60,638","5,204"
2020-10-17,All Sex,<1 Years,360,0
2020-10-17,All Sex,1-4 Years,75,0
2020-10-17,All Sex,5-14 Years,96,0
2020-10-17,All Sex,15-24 Years,711,5
2020-10-17,All Sex,25-34 Years,"1,364",30
2020-10-17,All Sex,35-44 Years,"1,934",75
2020-10-17,All Sex,45-54 Years,"3,433",208
2020-10-17,All Sex,55-64 Years,"7,871",589
2020-10-17,All Sex,65-74 Years,"12,216","1,134"
2020-10-17,All Sex,75-84 Years,"14,764","1,467"
2020-10-17,All Sex,85+ Years,"17,814","1,696"
2020-10-17,Male,All Ages,"31,599","2,755"
2020-10-17,Male,<1 Years,179,0
2020-10-17,Male,1-4 Years,41,0
2020-10-17,Male,5-14 Years,61,0
2020-10-17,Male,15-24 Years,526,2
2020-10-17,Male,25-34 Years,952,17
2020-10-17,Male,35-44 Years,"1,286",47
2020-10-17,Male,45-54 Years,"2,171",145
2020-10-17,Male,55-64 Years,"4,798",361
2020-10-17,Male,65-74 Years,"7,003",657
2020-10-17,Male,75-84 Years,"7,615",805
2020-10-17,Male,85+ Years,"6,967",721
2020-10-17,Female,All Ages,"29,039","2,449"
2020-10-17,Female,<1 Years,181,0
2020-10-17,Female,1-4 Years,34,0
2020-10-17,Female,5-14 Years,35,0
2020-10-17,Female,15-24 Years,185,3
2020-10-17,Female,25-34 Years,412,13
2020-10-17,Female,35-44 Years,648,28
2020-10-17,Female,45-54 Years,"1,262",63
2020-10-17,Female,55-64 Years,"3,073",228
2020-10-17,Female,65-74 Years,"5,213",477
2020-10-17,Female,75-84 Years,"7,149",662
2020-10-17,Female,85+ Years,"10,847",975
2020-10-24,All Sex,All Ages,"62,184","6,000"
2020-10-24,All Sex,<1 Years,321,2
2020-10-24,All Sex,1-4 Years,54,0
2020-10-24,All Sex,5-14 Years,120,1
2020-10-24,All Sex,15-24 Years,654,6
2020-10-24,All Sex,25-34 Years,"1,349",33
2020-10-24,All Sex,35-44 Years,"1,921",90
2020-10-24,All Sex,45-54 Years,"3,408",249
2020-10-24,All Sex,55-64 Years,"8,204",641
2020-10-24,All Sex,65-74 Years,"12,268","1,248"
2020-10-24,All Sex,75-84 Years,"15,249","1,712"
2020-10-24,All Sex,85+ Years,"18,636","2,018"
2020-10-24,Male,All Ages,"32,613","3,272"
2020-10-24,Male,<1 Years,181,1
2020-10-24,Male,1-4 Years,35,0
2020-10-24,Male,5-14 Years,78,1
2020-10-24,Male,15-24 Years,482,4
2020-10-24,Male,25-34 Years,972,19
2020-10-24,Male,35-44 Years,"1,245",53
2020-10-24,Male,45-54 Years,"2,144",162
2020-10-24,Male,55-64 Years,"5,057",399
2020-10-24,Male,65-74 Years,"7,175",765
2020-10-24,Male,75-84 Years,"7,939",966
2020-10-24,Male,85+ Years,"7,305",902
2020-10-24,Female,All Ages,"29,571","2,728"
2020-10-24,Female,<1 Years,140,1
2020-10-24,Female,1-4 Years,19,0
2020-10-24,Female,5-14 Years,42,0
2020-10-24,Female,15-24 Years,172,2
2020-10-24,Female,25-34 Years,377,14
2020-10-24,Female,35-44 Years,676,37
2020-10-24,Female,45-54 Years,"1,264",87
2020-10-24,Female,55-64 Years,"3,147",242
2020-10-24,Female,65-74 Years,"5,093",483
2020-10-24,Female,75-84 Years,"7,310",746
2020-10-24,Female,85+ Years,"11,331","1,116"
2020-10-31,All Sex,All Ages,"63,425","7,031"
2020-10-31,All Sex,<1 Years,378,1
2020-10-31,All Sex,1-4 Years,57,0
2020-10-31,All Sex,5-14 Years,116,3
2020-10-31,All Sex,15-24 Years,651,13
2020-10-31,All Sex,25-34 Years,"1,448",41
2020-10-31,All Sex,35-44 Years,"1,955",117
2020-10-31,All Sex,45-54 Years,"3,462",279
2020-10-31,All Sex,55-64 Years,"8,175",744
2020-10-31,All Sex,65-74 Years,"12,910","1,477"
2020-10-31,All Sex,75-84 Years,"15,460","2,050"
2020-10-31,All Sex,85+ Years,"18,813","2,306"
2020-10-31,Male,All Ages,"33,086","3,820"
2020-10-31,Male,<1 Years,204,1
2020-10-31,Male,1-4 Years,34,0
2020-10-31,Male,5-14 Years,69,2
2020-10-31,Male,15-24 Years,467,8
2020-10-31,Male,25-34 Years,"1,028",25
2020-10-31,Male,35-44 Years,"1,261",77
2020-10-31,Male,45-54 Years,"2,059",178
2020-10-31,Male,55-64 Years,"5,050",492
2020-10-31,Male,65-74 Years,"7,443",892
2020-10-31,Male,75-84 Years,"8,104","1,169"
2020-10-31,Male,85+ Years,"7,367",976
2020-10-31,Female,All Ages,"30,339","3,211"
2020-10-31,Female,<1 Years,174,0
2020-10-31,Female,1-4 Years,23,0
2020-10-31,Female,5-14 Years,47,1
2020-10-31,Female,15-24 Years,184,5
2020-10-31,Female,25-34 Years,420,16
2020-10-31,Female,35-44 Years,694,40
2020-10-31,Female,45-54 Years,"1,403",101
2020-10-31,Female,55-64 Years,"3,125",252
2020-10-31,Female,65-74 Years,"5,467",585
2020-10-31,Female,75-84 Years,"7,356",881
2020-10-31,Female,85+ Years,"11,446","1,330"
2020-11-07,All Sex,All Ages,"67,586","8,765"
2020-11-07,All Sex,<1 Years,389,2
2020-11-07,All Sex,1-4 Years,64,1
2020-11-07,All Sex,5-14 Years,105,2
2020-11-07,All Sex,15-24 Years,710,10
2020-11-07,All Sex,25-34 Years,"1,507",51
2020-11-07,All Sex,35-44 Years,"2,143",126
2020-11-07,All Sex,45-54 Years,"3,720",339
2020-11-07,All Sex,55-64 Years,"8,520",862
2020-11-07,All Sex,65-74 Years,"13,453","1,862"
2020-11-07,All Sex,75-84 Years,"16,698","2,603"
2020-11-07,All Sex,85+ Years,"20,277","2,907"
2020-11-07,Male,All Ages,"35,474","4,817"
2020-11-07,Male,<1 Years,213,1
2020-11-07,Male,1-4 Years,39,0
2020-11-07,Male,5-14 Years,67,2
2020-11-07,Male,15-24 Years,521,7
2020-11-07,Male,25-34 Years,"1,083",30
2020-11-07,Male,35-44 Years,"1,387",90
2020-11-07,Male,45-54 Years,"2,276",214
2020-11-07,Male,55-64 Years,"5,241",540
2020-11-07,Male,65-74 Years,"7,787","1,161"
2020-11-07,Male,75-84 Years,"8,724","1,467"
2020-11-07,Male,85+ Years,"8,136","1,305"
2020-11-07,Female,All Ages,"32,112","3,948"
2020-11-07,Female,<1 Years,176,1
2020-11-07,Female,1-4 Years,25,1
2020-11-07,Female,5-14 Years,38,0
2020-11-07,Female,15-24 Years,189,3
2020-11-07,Female,25-34 Years,424,21
2020-11-07,Female,35-44 Years,756,36
2020-11-07,Female,45-54 Years,"1,444",125
2020-11-07,Female,55-64 Years,"3,279",322
2020-11-07,Female,65-74 Years,"5,666",701
2020-11-07,Female,75-84 Years,"7,974","1,136"
2020-11-07,Female,85+ Years,"12,141","1,602"
2020-11-14,All Sex,All Ages,"68,821","10,654"
2020-11-14,All Sex,<1 Years,359,1
2020-11-14,All Sex,1-4 Years,63,0
2020-11-14,All Sex,5-14 Years,125,1
2020-11-14,All Sex,15-24 Years,740,10
2020-11-14,All Sex,25-34 Years,"1,434",57
2020-11-14,All Sex,35-44 Years,"2,010",136
2020-11-14,All Sex,45-54 Years,"3,771",425
2020-11-14,All Sex,55-64 Years,"8,729","1,109"
2020-11-14,All Sex,65-74 Years,"13,779","2,161"
2020-11-14,All Sex,75-84 Years,"17,124","3,165"
2020-11-14,All Sex,85+ Years,"20,687","3,589"
2020-11-14,Male,All Ages,"36,344","5,878"
2020-11-14,Male,<1 Years,198,1
2020-11-14,Male,1-4 Years,35,0
2020-11-14,Male,5-14 Years,79,1
2020-11-14,Male,15-24 Years,543,6
2020-11-14,Male,25-34 Years,"1,027",33
2020-11-14,Male,35-44 Years,"1,305",97
2020-11-14,Male,45-54 Years,"2,312",268
2020-11-14,Male,55-64 Years,"5,449",718
2020-11-14,Male,65-74 Years,"8,177","1,338"
2020-11-14,Male,75-84 Years,"8,979","1,801"
2020-11-14,Male,85+ Years,"8,240","1,615"
2020-11-14,Female,All Ages,"32,477","4,776"
2020-11-14,Female,<1 Years,161,0
2020-11-14,Female,1-4 Years,28,0
2020-11-14,Female,5-14 Years,46,0
2020-11-14,Female,15-24 Years,197,4
2020-11-14,Female,25-34 Years,407,24
2020-11-14,Female,35-44 Years,705,39
2020-11-14,Female,45-54 Years,"1,459",157
2020-11-14,Female,55-64 Years,"3,280",391
2020-11-14,Female,65-74 Years,"5,602",823
2020-11-14,Female,75-84 Years,"8,145","1,364"
2020-11-14,Female,85+ Years,"12,447","1,974"
2020-11-21,All Sex,All Ages,"71,670","13,364"
2020-11-21,All Sex,<1 Years,385,3
2020-11-21,All Sex,1-4 Years,58,1
2020-11-21,All Sex,5-14 Years,109,2
2020-11-21,All Sex,15-24 Years,652,17
2020-11-21,All Sex,25-34 Years,"1,403",74
2020-11-21,All Sex,35-44 Years,"2,137",172
2020-11-21,All Sex,45-54 Years,"3,682",482
2020-11-21,All Sex,55-64 Years,"8,983","1,374"
2020-11-21,All Sex,65-74 Years,"14,469","2,741"
2020-11-21,All Sex,75-84 Years,"17,961","3,928"
2020-11-21,All Sex,85+ Years,"21,831","4,570"
2020-11-21,Male,All Ages,"37,642","7,318"
2020-11-21,Male,<1 Years,206,2
2020-11-21,Male,1-4 Years,30,1
2020-11-21,Male,5-14 Years,60,1
2020-11-21,Male,15-24 Years,460,8
2020-11-21,Male,25-34 Years,975,38
2020-11-21,Male,35-44 Years,"1,412",114
2020-11-21,Male,45-54 Years,"2,278",318
2020-11-21,Male,55-64 Years,"5,494",854
2020-11-21,Male,65-74 Years,"8,382","1,680"
2020-11-21,Male,75-84 Years,"9,548","2,278"
2020-11-21,Male,85+ Years,"8,797","2,024"
2020-11-21,Female,All Ages,"34,028","6,046"
2020-11-21,Female,<1 Years,179,1
2020-11-21,Female,1-4 Years,28,0
2020-11-21,Female,5-14 Years,49,1
2020-11-21,Female,15-24 Years,192,9
2020-11-21,Female,25-34 Years,428,36
2020-11-21,Female,35-44 Years,725,58
2020-11-21,Female,45-54 Years,"1,404",164
2020-11-21,Female,55-64 Years,"3,489",520
2020-11-21,Female,65-74 Years,"6,087","1,061"
2020-11-21,Female,75-84 Years,"8,413","1,650"
2020-11-21,Female,85+ Years,"13,034","2,546"
2020-11-28,All Sex,All Ages,"73,298","15,628"
2020-11-28,All Sex,<1 Years,336,0
2020-11-28,All Sex,1-4 Years,53,0
2020-11-28,All Sex,5-14 Years,106,3
2020-11-28,All Sex,15-24 Years,705,21
2020-11-28,All Sex,25-34 Years,"1,466",79
2020-11-28,All Sex,35-44 Years,"2,114",222
2020-11-28,All Sex,45-54 Years,"3,812",543
2020-11-28,All Sex,55-64 Years,"8,980","1,614"
2020-11-28,All Sex,65-74 Years,"14,809","3,247"
2020-11-28,All Sex,75-84 Years,"18,238","4,565"
2020-11-28,All Sex,85+ Years,"22,679","5,334"
2020-11-28,Male,All Ages,"38,786","8,613"
2020-11-28,Male,<1 Years,173,0
2020-11-28,Male,1-4 Years,32,0
2020-11-28,Male,5-14 Years,62,1
2020-11-28,Male,15-24 Years,525,7
2020-11-28,Male,25-34 Years,"1,029",50
2020-11-28,Male,35-44 Years,"1,396",135
2020-11-28,Male,45-54 Years,"2,404",359
2020-11-28,Male,55-64 Years,"5,521","1,001"
2020-11-28,Male,65-74 Years,"8,715","2,011"
2020-11-28,Male,75-84 Years,"9,708","2,664"
2020-11-28,Male,85+ Years,"9,221","2,385"
2020-11-28,Female,All Ages,"34,512","7,015"
2020-11-28,Female,<1 Years,163,0
2020-11-28,Female,1-4 Years,21,0
2020-11-28,Female,5-14 Years,44,2
2020-11-28,Female,15-24 Years,180,14
2020-11-28,Female,25-34 Years,437,29
2020-11-28,Female,35-44 Years,718,87
2020-11-28,Female,45-54 Years,"1,408",184
2020-11-28,Female,55-64 Years,"3,459",613
2020-11-28,Female,65-74 Years,"6,094","1,236"
2020-11-28,Female,75-84 Years,"8,530","1,901"
2020-11-28,Female,85+ Years,"13,458","2,949"
2020-12-05,All Sex,All Ages,"77,421","18,578"
2020-12-05,All Sex,<1 Years,322,3
2020-12-05,All Sex,1-4 Years,63,2
2020-12-05,All Sex,5-14 Years,107,2
2020-12-05,All Sex,15-24 Years,705,16
2020-12-05,All Sex,25-34 Years,"1,431",86
2020-12-05,All Sex,35-44 Years,"2,107",238
2020-12-05,All Sex,45-54 Years,"3,986",701
2020-12-05,All Sex,55-64 Years,"9,590","1,878"
2020-12-05,All Sex,65-74 Years,"15,715","3,890"
2020-12-05,All Sex,75-84 Years,"19,516","5,493"
2020-12-05,All Sex,85+ Years,"23,879","6,269"
2020-12-05,Male,All Ages,"40,835","10,076"
2020-12-05,Male,<1 Years,192,1
2020-12-05,Male,1-4 Years,35,1
2020-12-05,Male,5-14 Years,72,0
2020-12-05,Male,15-24 Years,513,9
2020-12-05,Male,25-34 Years,992,48
2020-12-05,Male,35-44 Years,"1,349",142
2020-12-05,Male,45-54 Years,"2,504",457
2020-12-05,Male,55-64 Years,"5,919","1,184"
2020-12-05,Male,65-74 Years,"9,151","2,385"
2020-12-05,Male,75-84 Years,"10,417","3,183"
2020-12-05,Male,85+ Years,"9,691","2,666"
2020-12-05,Female,All Ages,"36,586","8,502"
